video_id,title,published_at,thumbnail_url,members
"BU0jARfwOAU","I'm sick... so let's chat!🥺","2026-06-23T18:35:08Z","https://i.ytimg.com/vi/BU0jARfwOAU/maxresdefault.jpg","false"
"BfguNI54BL4","QUA!! It's me...! I'm all the zoo animals!🦆【MyVoiceZoo】","2026-04-04T19:50:18Z","https://i.ytimg.com/vi/BfguNI54BL4/maxresdefault.jpg","false"
"BjNfoeSAZMI","Unboxing Reverse: 1999 Cards ...they look amazing?!✨& Cozy Knitting🧶【Handcam】","2026-02-03T21:29:06Z","https://i.ytimg.com/vi/BjNfoeSAZMI/maxresdefault.jpg","false"
"BybS7DfOtLY","YOU SAW NOTHING!!!","2026-08-11T14:30:32Z","https://i.ytimg.com/vi/BybS7DfOtLY/maxresdefault.jpg","false"
"C4CvU7uqD4I","Umamusume! But... it's cards?!✨ Unboxing Amazingly Cute Horse Girl Cards!【Handcam】","2025-08-04T21:30:07Z","https://i.ytimg.com/vi/C4CvU7uqD4I/maxresdefault.jpg","false"
"CDHnUVkSpOo","Let's React to the XBOX Games Showcase!【WATCHALONG】7th June 2026✨","2026-06-07T18:55:40Z","https://i.ytimg.com/vi/CDHnUVkSpOo/maxresdefault.jpg","false"
"COCyC5w9Ul8","Watching Back to the Future for the First Time!✨【WATCHALONG】","2026-02-22T00:21:08Z","https://i.ytimg.com/vi/COCyC5w9Ul8/maxresdefault.jpg","false"
"CQhSl1o1xdE","Hunting down Salmon!!🐟✨【Splatoon Raiders】Completely Blind Playthrough","2026-07-24T20:59:31Z","https://i.ytimg.com/vi/CQhSl1o1xdE/maxresdefault.jpg","false"
"CR8pympG8wQ","Cute Anime Girls booster box opening!💕Kadokawa Sneaker Bunko vol.2【Handcam】& Cozy Knitting🧶","2026-08-03T20:15:05Z","https://i.ytimg.com/vi/CR8pympG8wQ/maxresdefault.jpg","false"
"CTwCj0N-u9g","Chatting~ And then Map Making!🪶✨Trying to draft the Discworld Map!【Wonderdraft】","2026-06-11T20:54:07Z","https://i.ytimg.com/vi/CTwCj0N-u9g/maxresdefault.jpg","false"
"CXSzdAU_cvw","First Time Playing this Absolutely Amazing Game!✨【Clair Obscur: Expedition 33】Blind Playthrough!","2025-12-08T00:21:12Z","https://i.ytimg.com/vi/CXSzdAU_cvw/maxresdefault.jpg","false"
"CZIBhM8g7wg","Reacting to Dark Souls lore✨ And other cozy chatting!","2026-01-01T22:07:32Z","https://i.ytimg.com/vi/CZIBhM8g7wg/maxresdefault.jpg","false"
"C_wkMo3QGEQ","NIKKE Cards?! 😳Opening Gorgeous Girl Cards!【Handcam】& Mesmerizing Crochet!🧶","2025-10-27T21:29:25Z","https://i.ytimg.com/vi/C_wkMo3QGEQ/maxresdefault.jpg","false"
"CdkzsGxXYDc","It's Time For The Cutest Mario Game Of All Time!✨【Captain Toad Treasure Tracker - Switch 2】","2025-09-26T21:10:02Z","https://i.ytimg.com/vi/CdkzsGxXYDc/maxresdefault.jpg","false"
